adm0_id,adm1_id,population
1,900483,1357037
1,900484,707535
1,900485,1306243
1,900486,1942931
1,900487,637983
1,900488,664948
1,900489,724841
1,900490,1428019
1,900491,1754092
1,900492,984184
1,900493,1861885
1,900494,2755908
1,900495,775124
1,900496,6700516
1,900497,1801843
1,900498,628639
1,900499,819460
1,900500,642920
1,900501,1463366
1,900502,635317
1,900503,559215
1,900504,2190772
1,900505,236308
1,900506,210895
1,900507,998379
1,900508,787829
1,900509,218763
1,900510,949721
1,900511,554213
1,900512,799480
1,900513,1407252
1,900514,561409
1,900515,850019
1,900516,494813
4,341,524320
4,342,885768
4,343,415530
4,344,4107062
4,345,784123
4,346,1436577
4,347,322966
4,348,948357
4,349,966775
4,350,1375222
4,351,715116
4,352,766428
4,353,1016982
4,354,1157508
4,355,1199747
4,356,1612238
4,357,326669
4,358,845466
4,359,464415
4,360,443819
4,361,541247
4,362,85003
4,363,686324
4,364,455315
4,365,711844
4,366,910495
4,367,849570
4,368,862492
4,369,838897
4,370,1245474
4,371,336631
4,372,2069134
4,373,750239
4,374,749180
4,375,821162
4,376,395377
4,377,1694786
4,378,693209
4,379,1014942
4,380,538728
4,381,235490
4,382,768034
4,383,96038
4,384,1105775
4,385,668602
4,386,623579
4,387,1108271
4,388,1057502
8,399,2611074
8,400,1765495
8,403,2236581
8,405,2471780
8,402,638615
8,409,1030631
8,410,649133
8,412,907681
8,398,462598
8,407,524569
8,408,8523574
8,401,847377
8,411,1175886
8,414,1761367
8,415,720902
8,404,1194495
8,406,2997267
8,413,608649
13,900833,1022744
13,900834,143305
13,900835,275800
13,900836,285391
13,900837,227395
13,900838,201931
13,900839,281322
13,900840,229547
13,900841,117613
13,900842,49382
13,900843,117347
23,900397,7962816
23,900398,31273560
23,900399,44420924
23,900400,16305801
23,900401,11873207
23,900402,20298094
23,900403,17362138
23,900404,11859500
29,609,1086178
29,610,925350
29,611,1662202
29,612,1487450
29,613,756699
29,614,797171
29,615,636870
29,616,596493
29,617,544861
29,618,1300669
29,619,726871
29,620,964233
31,622,17114
31,623,87059
31,624,27263
31,625,2749
31,626,11809
31,627,14607
31,628,42479
31,629,37907
31,630,24901
31,631,21512
31,632,68234
31,633,70106
31,634,43335
31,635,100242
31,636,17369
31,637,56236
31,638,15272
31,639,20654
31,640,54817
31,641,20728
42,900712,1816310
42,900713,755896
42,900714,2623394
42,900715,2623394
42,900716,1551284
42,900717,1510412
42,900718,801374
42,900719,1633891
42,900720,1983881
42,900721,1500082
42,900722,872851
42,900723,1282223
42,900724,796535
43,40542,417992
43,40543,861077
43,40544,784297
43,40546,333033
43,40547,579563
43,40548,876325
43,40549,523401
43,40550,851687
43,40551,851473
43,40552,568010
43,40553,353127
43,40554,1034879
43,40555,341690
43,40556,830235
43,40557,527484
43,40558,599631
43,900102,428140
43,900103,413333
44,900412,779188
44,900413,1630349
44,900414,793463
44,900415,455885
44,900416,752129
44,900417,628475
44,900418,649744
44,900419,1129913
44,900420,37904
44,900421,105961
44,900422,379669
44,900423,135633
44,900424,1028047
44,900425,335234
44,900426,2147461
44,900427,244493
44,900428,333726
44,900429,796450
